permit_number,plot_number,latitude,longitude,approved_area_sq_m,permit_date,owner,status
BP-401-6449,Sec-22-U-866,30.7310446,76.7811202,57.86,2026-04-04,Anita,approved
BP-401-3911,S22-F-867,30.7312442,76.7811172,37.49,2024-11-17,Amrik,approved
BP-401-7468,Sec-22-N-870,30.7315142,76.7811185,9.19,2024-04-11,Rajesh,approved
BP-401-2355,S22-H-876,30.732678,76.7811184,89.78,2024-11-18,Gurpreet,approved
BP-401-2344,S22-N-878,30.7328904,76.7811185,11.47,2025-05-14,Mohan,approved
BP-401-6370,Sec-22-U-881,30.7333752,76.7811189,118.8,2025-02-05,Mohan,approved
BP-401-4532,S22-F-898,30.7310458,76.7812756,385.04,2025-10-15,Rajesh,approved
BP-401-7590,22-P-901,30.7314614,76.7812724,81.65,2026-04-23,Harpreet,approved
BP-401-1829,S22-P-908,30.7326744,76.781282,526.16,2024-11-21,Amrik,approved
BP-401-8794,S22-H-909,30.7328541,76.7812857,51.6,2026-05-03,Sandeep,approved
BP-401-3937,S22-G-910,30.7328897,76.7812821,59.44,2025-11-08,Daljeet,approved
BP-401-9971,Sec-22-E-915,30.733815,76.7812773,112.66,2025-06-17,Ranjeet,approved
BP-401-7561,S22-D-917,30.7340424,76.7812865,330.97,2025-03-29,Karan,approved
BP-401-1974,Sec-22-L-921,30.7348823,76.7812826,473.83,2024-12-17,Ravinder,approved
BP-401-4127,Sec-22-E-925,30.7354437,76.781283,106.68,2025-01-05,Jaswinder,approved
BP-401-8121,22-L-939,30.7324329,76.7817588,508.7,2026-03-11,Harsimran,approved
BP-401-2473,Sec-22-U-940,30.7326749,76.7817618,1077.44,2024-08-19,Ranjeet,approved
BP-401-5396,22-T-942,30.73289,76.781761,153.83,2024-04-05,Raj,approved
BP-401-7686,S22-V-945,30.7333739,76.7817528,1393.29,2026-06-15,Surinder,approved
BP-401-4169,22-Q-946,30.7336803,76.7817622,646.54,2025-09-17,Baljeet,approved
BP-401-3034,Sec-22-M-953,30.7348807,76.7817576,1159.52,2024-04-28,Taranjeet,approved
BP-401-5139,S22-L-954,30.7351553,76.7817546,610.05,2025-08-11,Rani,approved
BP-401-6823,22-R-958,30.7355593,76.7817583,617.13,2024-11-20,Jagdish,approved
BP-401-8612,22-E-961,30.7308574,76.7821675,81.07,2026-04-02,Neelam,approved
BP-401-4865,Sec-22-U-964,30.731376,76.7821679,58.83,2024-07-18,Sandeep,approved
BP-401-3257,Sec-22-S-968,30.731849,76.7821671,148.82,2024-09-07,Manjeet,approved
BP-401-5295,Sec-22-H-977,30.7333776,76.7821672,275.91,2025-07-07,Ravinder,approved
BP-401-3449,Sec-22-E-979,30.7338156,76.7821679,59.89,2024-05-16,Raj,approved
BP-401-3672,Sec-22-B-980,30.7338807,76.7821703,29.84,2025-03-04,Rajesh,rejected_but_built
BP-401-8630,Sec-22-V-981,30.7340421,76.7821671,200.9,2024-10-12,Suresh,approved
BP-401-3284,S22-K-985,30.7348823,76.7821654,260.38,2025-11-29,Jagdish,approved
BP-401-5472,S22-J-988,30.7353709,76.7821671,50.76,2025-10-13,Ranjeet,approved
BP-401-7250,S22-M-990,30.735558,76.7821661,91.0,2026-01-11,Surinder,approved
BP-401-4640,S22-H-992,30.7357765,76.7821678,42.65,2025-03-14,Amrik,approved
BP-401-1155,22-N-993,30.7308554,76.7822595,43.25,2025-07-12,Mohan,approved
BP-401-3667,22-W-996,30.7313756,76.7822591,27.64,2025-10-31,Ravneet,approved
BP-401-4674,22-R-998,30.7315176,76.7822576,12.11,2025-07-27,Gurpreet,approved
BP-401-2878,22-C-1000,30.7318475,76.7822595,54.35,2024-08-02,Davinder,approved
BP-401-3843,Sec-22-D-1004,30.7326741,76.7822588,84.56,2026-02-08,Suresh,approved
BP-401-6705,22-M-1005,30.7328536,76.782258,12.34,2025-08-04,Baljeet,approved
BP-401-5268,22-M-1007,30.7329545,76.7822598,31.19,2026-01-12,Gurmeet,approved
